01.61.10.11.00.00.00;Услуги по подготовке почвы для проведения сева и посадки сельскохозяйственных культур;Услуги по подготовке почвы для проведения сева и посадки сельскохозяйственных культур;Одна услуга;5114
01.61.10.17.00.00.00;Услуги по проверке и подготовке семян сельскохозяйственных культур к севу;Услуги по проверке и подготовке семян сельскохозяйственных культур к севу;Одна услуга;5114
01.61.10.20.00.00.00;Услуги по подготовке сельскохозяйственных культур к сбыту на рынке;Услуги по подготовке сельскохозяйственных культур к сбыту на рынке;Одна услуга;5114
01.61.10.21.00.00.00;Услуги по защите сельскохозяйственных культур от болезней и вредителей, включая их опрыскивание, в том числе с воздуха;Услуги по защите сельскохозяйственных культур от болезней и вредителей, включая их опрыскивание, в том числе с воздуха;Одна услуга;5114
01.61.10.22.00.00.00;Услуги по обработке сельскохозяйственных культур ядохимикатами;Услуги по обработке сельскохозяйственных культур ядохимикатами;Одна услуга;5114
01.61.10.23.00.00.00;Услуги по обработке сельскохозяйственных культур гербицидами и арборицидами;Услуги по обработке сельскохозяйственных культур гербицидами и арборицидами;Одна услуга;5114
01.61.10.24.00.00.00;Услуги по обработке сельскохозяйственных культур дефолиантами и десикантами;Услуги по обработке сельскохозяйственных культур дефолиантами и десикантами;Одна услуга;5114
01.61.10.25.00.00.00;Услуги по обследованию сельскохозяйственных культур на зараженность болезнями и вредителями;Услуги по обследованию сельскохозяйственных культур на зараженность болезнями и вредителями;Одна услуга;5114
01.61.10.26.00.00.00;Услуги по заготовке кормов;Услуги по заготовке кормов;Одна услуга;5114
01.61.10.28.00.00.00;Услуги по выращиванию сельскохозяйственных культур прочие;Услуги по выращиванию сельскохозяйственных культур прочие;Одна услуга;5114
01.62.10.11.00.00.00;Услуги по разведению крупного рогатого скота;Услуги по разведению крупного рогатого скота;Одна услуга;5114
01.62.10.12.00.00.00;Услуги по доению коров;Услуги по доению коров;Одна услуга;5114
01.62.10.13.00.00.00;Услуги по уходу за коровами;Услуги по уходу за коровами;Одна услуга;5114
01.62.10.14.00.00.00;Услуги по уходу за молодняком крупного рогатого скота;Услуги по уходу за молодняком крупного рогатого скота;Одна услуга;5114
01.62.10.15.00.00.00;Услуги по уходу за телятами;Услуги по уходу за телятами;Одна услуга;5114
01.62.10.16.00.00.00;Услуги по уходу за быками-производителями;Услуги по уходу за быками-производителями;Одна услуга;5114
01.62.10.17.00.00.00;Услуги, связанные со свиноводством;Услуги, связанные со свиноводством;Одна услуга;5114
01.62.10.18.00.00.00;Услуги, связанные с овцеводством;Услуги, связанные с овцеводством;Одна услуга;5114
01.62.10.20.00.00.00;Услуги, связанные с козоводством;Услуги, связанные с козоводством;Одна услуга;5114
01.62.10.21.00.00.00;Услуги по уходу за козами;Услуги по уходу за козами;Одна услуга;5114
01.62.10.22.00.00.00;Услуги по чесанию пуховых коз;Услуги по чесанию пуховых коз;Одна услуга;5114
