01.61.10.12.00.00.00;Работы по проведению сева и посадки сельскохозяйственных культур;Работы по проведению сева и посадки сельскохозяйственных культур;Работа
01.61.10.13.00.00.00;Работы по возделыванию и выращиванию сельскохозяйственных культур;Работы по возделыванию и выращиванию сельскохозяйственных культур;Работа
01.61.10.14.00.00.00;Работы по пересаживанию риса и рассаживанию свеклы;Работы по пересаживанию риса и рассаживанию свеклы;Работа
01.61.10.15.00.00.00;Вспомогательные работы на ягодных плантациях, виноградниках и в фруктовых садах;Вспомогательные работы на ягодных плантациях, виноградниках и в фруктовых садах;Работа
01.61.10.18.00.00.00;Работы по очистке хлопка от семян;Работы по очистке хлопка от семян;Работа
01.61.10.19.00.00.00;Работы по уборке урожая;Работы по уборке урожая ;Работа
01.61.10.27.00.00.00;Работы по выращиванию сельскохозяйственных культур прочие;Работы по выращиванию сельскохозяйственных культур прочие;Работа
01.62.10.19.00.00.00;Работы по стрижке овец;Работы по стрижке овец;Работа
01.62.10.25.00.00.00;Работы в животноводстве, не включенные в другие группировки, прочие;Работы в животноводстве, не включенные в другие группировки, прочие;Работа
01.62.10.30.00.00.00;Изготовление ушных бирок для  идентификации крупного рогатого скота;Изготовление ушных бирок для  идентификации крупного рогатого скота;Работа
01.63.10.13.00.00.00;Работы по проведению вторичного сева и посадки сельскохозяйственных культур;Работы по проведению вторичного сева и посадки сельскохозяйственных культур;Работа
01.63.10.14.00.00.00;Работы по вторичному возделыванию и выращиванию сельскохозяйственных культур;Работы по вторичному возделыванию и выращиванию сельскохозяйственных культур;Работа
01.63.10.15.00.00.00;Работы по сбору зерновых;Работы по сбору зерновых;Работа
01.63.10.16.00.00.00;Работы по сбору корнеплодов;Работы по сбору корнеплодов;Работа
01.63.10.17.00.00.00;Работы по сбору фруктов;Работы по сбору фруктов;Работа
01.63.10.18.00.00.00;Работы по переработке зерновых;Работы по переработке зерновых;Работа
01.63.10.19.00.00.00;Работы по переработке корнеплодов;Работы по переработке корнеплодов;Работа
01.63.10.20.00.00.00;Работы по переработке фруктов;Работы по переработке фруктов;Работа
02.10.20.11.00.00.00;Работы по выращиванию сеянцев, деревьев и кустарников;Проведение комплекса мероприятий по выращиванию сеянцев, деревьев и кустарников;Работа
02.10.20.12.00.00.00;Работы по выращиванию прочей продукции питомников;Проведение комплекса мероприятий по выращиванию прочей продукции питомников, не включенной в другие группировки;Работа
02.40.10.14.00.00.00;Работы в области лесоводства;Услуги по прореживанию лесов и лесосек;Работа
02.40.10.15.00.00.00;Работы в области лесоводства;Услуги по выращиванию молодого порослевого леса и деловой древесины;Работа
02.40.10.16.00.00.00;Работы в области лесоводства;Услуги по выращиванию растительных материалов, используемых для плетения;Работа
02.40.10.21.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Разреживание древостоя ;Работа
02.40.10.22.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Санитарная рубка  защитных лесонасаждений;Работа
02.40.10.23.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Противопожарная опашка лесонасаждений ;Работа
02.40.10.24.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Опашка лесонасаждений ;Работа
02.40.10.25.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Очистка от захламленности ;Работа
02.40.10.26.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Очистка от снега;Работа
02.40.10.27.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Очистка от песка;Работа
02.40.10.28.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Очистка от воды;Работа
02.40.10.29.00.00.00;Работы по текущему содержанию защитных лесонасаждений;Рубка кустарников на восстановление;Работа
02.40.10.32.00.00.00;Работы связанные с лесозаготовками;Работы по рубке (валке) леса;Работа
02.40.10.33.00.00.00;Работы связанные с лесозаготовками;Работы по распиловке леса;Работа
